Units,Year,Location,Provider,Funding
393,2019-20,Wales,Local Authorities,Total
57,2019-20,Wales,Local Authorities,Capital Grant Funded
336,2019-20,Wales,Local Authorities,Non-Capital Grant Funded
2470,2019-20,Wales,Registered Social Landlords,Total
1754,2019-20,Wales,Registered Social Landlords,Capital Grant Funded
716,2019-20,Wales,Registered Social Landlords,Non-Capital Grant Funded
7,2019-20,Isle of Anglesey,Isle of Anglesey,Total
0,2019-20,Isle of Anglesey,Isle of Anglesey,Capital Grant Funded
7,2019-20,Isle of Anglesey,Isle of Anglesey,Non-Capital Grant Funded
20,2019-20,Isle of Anglesey,Registered Social Landlords,Total
20,2019-20,Isle of Anglesey,Registered Social Landlords,Capital Grant Funded
0,2019-20,Isle of Anglesey,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Total
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Isle of Anglesey,Clwyd Alyn Housing Association,Non-Capital Grant Funded
20,2019-20,Isle of Anglesey,Grwp Cynefin,Total
20,2019-20,Isle of Anglesey,Grwp Cynefin,Capital Grant Funded
0,2019-20,Isle of Anglesey,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Isle of Anglesey,North Wales Housing Association,Total
0,2019-20,Isle of Anglesey,North Wales Housing Association,Capital Grant Funded
0,2019-20,Isle of Anglesey,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,Gwynedd,Total
0,2019-20,Gwynedd,Gwynedd,Capital Grant Funded
0,2019-20,Gwynedd,Gwynedd,Non-Capital Grant Funded
97,2019-20,Gwynedd,Registered Social Landlords,Total
55,2019-20,Gwynedd,Registered Social Landlords,Capital Grant Funded
42,2019-20,Gwynedd,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Total
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,Clwyd Alyn Housing Association,Non-Capital Grant Funded
8,2019-20,Gwynedd,Grwp Cynefin,Total
8,2019-20,Gwynedd,Grwp Cynefin,Capital Grant Funded
0,2019-20,Gwynedd,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Gwynedd,First Choice Housing Association,Total
0,2019-20,Gwynedd,First Choice Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,North Wales Housing Association,Total
0,2019-20,Gwynedd,North Wales Housing Association,Capital Grant Funded
0,2019-20,Gwynedd,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Gwynedd,Abbeyfield Wales,Total
0,2019-20,Gwynedd,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Gwynedd,Abbeyfield Wales,Non-Capital Grant Funded
42,2019-20,Gwynedd,Cartrefi Conwy,Total
0,2019-20,Gwynedd,Cartrefi Conwy,Capital Grant Funded
42,2019-20,Gwynedd,Cartrefi Conwy,Non-Capital Grant Funded
47,2019-20,Gwynedd,Adra,Total
47,2019-20,Gwynedd,Adra,Capital Grant Funded
0,2019-20,Gwynedd,Adra,Non-Capital Grant Funded
0,2019-20,Conwy,Conwy,Total
0,2019-20,Conwy,Conwy,Capital Grant Funded
0,2019-20,Conwy,Conwy,Non-Capital Grant Funded
79,2019-20,Conwy,Registered Social Landlords,Total
43,2019-20,Conwy,Registered Social Landlords,Capital Grant Funded
36,2019-20,Conwy,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Conwy,Clwyd Alyn Housing Association,Total
0,2019-20,Conwy,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Conwy,Clwyd Alyn Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Total
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Colwyn Bay,Non-Capital Grant Funded
4,2019-20,Conwy,Grwp Cynefin,Total
0,2019-20,Conwy,Grwp Cynefin,Capital Grant Funded
4,2019-20,Conwy,Grwp Cynefin,Non-Capital Grant Funded
6,2019-20,Conwy,First Choice Housing Association,Total
6,2019-20,Conwy,First Choice Housing Association,Capital Grant Funded
0,2019-20,Conwy,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Llanrwst,Total
0,2019-20,Conwy,Abbeyfield Llanrwst,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Llanrwst,Non-Capital Grant Funded
12,2019-20,Conwy,North Wales Housing Association,Total
12,2019-20,Conwy,North Wales Housing Association,Capital Grant Funded
0,2019-20,Conwy,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Wales,Total
0,2019-20,Conwy,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Conwy,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Conwy,Wales and West Housing,Total
0,2019-20,Conwy,Wales and West Housing,Capital Grant Funded
0,2019-20,Conwy,Wales and West Housing,Non-Capital Grant Funded
36,2019-20,Conwy,Cartrefi Conwy,Total
25,2019-20,Conwy,Cartrefi Conwy,Capital Grant Funded
11,2019-20,Conwy,Cartrefi Conwy,Non-Capital Grant Funded
21,2019-20,Conwy,Adra,Total
0,2019-20,Conwy,Adra,Capital Grant Funded
21,2019-20,Conwy,Adra,Non-Capital Grant Funded
33,2019-20,Denbighshire,Denbighshire,Total
9,2019-20,Denbighshire,Denbighshire,Capital Grant Funded
24,2019-20,Denbighshire,Denbighshire,Non-Capital Grant Funded
86,2019-20,Denbighshire,Registered Social Landlords,Total
76,2019-20,Denbighshire,Registered Social Landlords,Capital Grant Funded
10,2019-20,Denbighshire,Registered Social Landlords,Non-Capital Grant Funded
34,2019-20,Denbighshire,Clwyd Alyn Housing Association,Total
34,2019-20,Denbighshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
15,2019-20,Denbighshire,Grwp Cynefin,Total
15,2019-20,Denbighshire,Grwp Cynefin,Capital Grant Funded
0,2019-20,Denbighshire,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Denbighshire,First Choice Housing Association,Total
0,2019-20,Denbighshire,First Choice Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Denbighshire,North Wales Housing Association,Total
0,2019-20,Denbighshire,North Wales Housing Association,Capital Grant Funded
0,2019-20,Denbighshire,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Denbighshire,Abbeyfield Wales,Total
0,2019-20,Denbighshire,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Denbighshire,Abbeyfield Wales,Non-Capital Grant Funded
23,2019-20,Denbighshire,Wales and West Housing,Total
23,2019-20,Denbighshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Denbighshire,Wales and West Housing,Non-Capital Grant Funded
14,2019-20,Denbighshire,Cartrefi Conwy,Total
4,2019-20,Denbighshire,Cartrefi Conwy,Capital Grant Funded
10,2019-20,Denbighshire,Cartrefi Conwy,Non-Capital Grant Funded
0,2019-20,Denbighshire,Adra,Total
0,2019-20,Denbighshire,Adra,Capital Grant Funded
0,2019-20,Denbighshire,Adra,Non-Capital Grant Funded
47,2019-20,Flintshire,Flintshire,Total
0,2019-20,Flintshire,Flintshire,Capital Grant Funded
47,2019-20,Flintshire,Flintshire,Non-Capital Grant Funded
37,2019-20,Flintshire,Registered Social Landlords,Total
37,2019-20,Flintshire,Registered Social Landlords,Capital Grant Funded
0,2019-20,Flintshire,Registered Social Landlords,Non-Capital Grant Funded
1,2019-20,Flintshire,Clwyd Alyn Housing Association,Total
1,2019-20,Flintshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Flintshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
36,2019-20,Flintshire,Grwp Cynefin,Total
36,2019-20,Flintshire,Grwp Cynefin,Capital Grant Funded
0,2019-20,Flintshire,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Flintshire,First Choice Housing Association,Total
0,2019-20,Flintshire,First Choice Housing Association,Capital Grant Funded
0,2019-20,Flintshire,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Flintshire,Abbeyfield Wales,Total
0,2019-20,Flintshire,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Flintshire,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Flintshire,Wales and West Housing,Total
0,2019-20,Flintshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Flintshire,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Flintshire,Adra,Total
0,2019-20,Flintshire,Adra,Capital Grant Funded
0,2019-20,Flintshire,Adra,Non-Capital Grant Funded
15,2019-20,Wrexham,Wrexham,Total
6,2019-20,Wrexham,Wrexham,Capital Grant Funded
9,2019-20,Wrexham,Wrexham,Non-Capital Grant Funded
10,2019-20,Wrexham,Registered Social Landlords,Total
7,2019-20,Wrexham,Registered Social Landlords,Capital Grant Funded
3,2019-20,Wrexham,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Total
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Wrexham,Clwyd Alyn Housing Association,Non-Capital Grant Funded
6,2019-20,Wrexham,Grwp Cynefin,Total
4,2019-20,Wrexham,Grwp Cynefin,Capital Grant Funded
2,2019-20,Wrexham,Grwp Cynefin,Non-Capital Grant Funded
0,2019-20,Wrexham,First Choice Housing Association,Total
0,2019-20,Wrexham,First Choice Housing Association,Capital Grant Funded
0,2019-20,Wrexham,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Wrexham,North Wales Housing Association,Total
0,2019-20,Wrexham,North Wales Housing Association,Capital Grant Funded
0,2019-20,Wrexham,North Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Wrexham,Ruabon Almshouse,Total
0,2019-20,Wrexham,Ruabon Almshouse,Capital Grant Funded
0,2019-20,Wrexham,Ruabon Almshouse,Non-Capital Grant Funded
4,2019-20,Wrexham,Wales and West Housing,Total
3,2019-20,Wrexham,Wales and West Housing,Capital Grant Funded
1,2019-20,Wrexham,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Wrexham,Adra,Total
0,2019-20,Wrexham,Adra,Capital Grant Funded
0,2019-20,Wrexham,Adra,Non-Capital Grant Funded
5,2019-20,Powys,Powys,Total
0,2019-20,Powys,Powys,Capital Grant Funded
5,2019-20,Powys,Powys,Non-Capital Grant Funded
70,2019-20,Powys,Registered Social Landlords,Total
63,2019-20,Powys,Registered Social Landlords,Capital Grant Funded
7,2019-20,Powys,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Powys,Cadarn Housing Group,Total
0,2019-20,Powys,Cadarn Housing Group,Capital Grant Funded
0,2019-20,Powys,Cadarn Housing Group,Non-Capital Grant Funded
0,2019-20,Powys,Clwyd Alyn Housing Association,Total
0,2019-20,Powys,Clwyd Alyn Housing Association,Capital Grant Funded
0,2019-20,Powys,Clwyd Alyn Housing Association,Non-Capital Grant Funded
1,2019-20,Powys,Grwp Cynefin,Total
0,2019-20,Powys,Grwp Cynefin,Capital Grant Funded
1,2019-20,Powys,Grwp Cynefin,Non-Capital Grant Funded
2,2019-20,Powys,First Choice Housing Association,Total
2,2019-20,Powys,First Choice Housing Association,Capital Grant Funded
0,2019-20,Powys,First Choice Housing Association,Non-Capital Grant Funded
35,2019-20,Powys,Mid Wales Housing Association,Total
35,2019-20,Powys,Mid Wales Housing Association,Capital Grant Funded
0,2019-20,Powys,Mid Wales Housing Association,Non-Capital Grant Funded
1,2019-20,Powys,Newydd Housing Association,Total
1,2019-20,Powys,Newydd Housing Association,Capital Grant Funded
0,2019-20,Powys,Newydd Housing Association,Non-Capital Grant Funded
6,2019-20,Powys,Wales and West Housing,Total
0,2019-20,Powys,Wales and West Housing,Capital Grant Funded
6,2019-20,Powys,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Powys,Melin Homes,Total
0,2019-20,Powys,Melin Homes,Capital Grant Funded
0,2019-20,Powys,Melin Homes,Non-Capital Grant Funded
25,2019-20,Powys,Pobl Group,Total
25,2019-20,Powys,Pobl Group,Capital Grant Funded
0,2019-20,Powys,Pobl Group,Non-Capital Grant Funded
0,2019-20,Ceredigion,Ceredigion,Total
0,2019-20,Ceredigion,Ceredigion,Capital Grant Funded
0,2019-20,Ceredigion,Ceredigion,Non-Capital Grant Funded
23,2019-20,Ceredigion,Registered Social Landlords,Total
22,2019-20,Ceredigion,Registered Social Landlords,Capital Grant Funded
1,2019-20,Ceredigion,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Ceredigion,Caredig,Total
0,2019-20,Ceredigion,Caredig,Capital Grant Funded
0,2019-20,Ceredigion,Caredig,Non-Capital Grant Funded
0,2019-20,Ceredigion,First Choice Housing Association,Total
0,2019-20,Ceredigion,First Choice Housing Association,Capital Grant Funded
0,2019-20,Ceredigion,First Choice Housing Association,Non-Capital Grant Funded
1,2019-20,Ceredigion,Mid Wales Housing Association,Total
0,2019-20,Ceredigion,Mid Wales Housing Association,Capital Grant Funded
1,2019-20,Ceredigion,Mid Wales Housing Association,Non-Capital Grant Funded
0,2019-20,Ceredigion,Abbeyfield Wales,Total
0,2019-20,Ceredigion,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Ceredigion,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Ceredigion,Saint David's Diocesan Housing Association,Total
0,2019-20,Ceredigion,Saint David's Diocesan Housing Association,Capital Grant Funded
0,2019-20,Ceredigion,Saint David's Diocesan Housing Association,Non-Capital Grant Funded
0,2019-20,Ceredigion,Wales and West Housing,Total
0,2019-20,Ceredigion,Wales and West Housing,Capital Grant Funded
0,2019-20,Ceredigion,Wales and West Housing,Non-Capital Grant Funded
22,2019-20,Ceredigion,Barcud Cyfyngedig,Total
22,2019-20,Ceredigion,Barcud Cyfyngedig,Capital Grant Funded
0,2019-20,Ceredigion,Barcud Cyfyngedig,Non-Capital Grant Funded
18,2019-20,Pembrokeshire,Pembrokeshire,Total
2,2019-20,Pembrokeshire,Pembrokeshire,Capital Grant Funded
16,2019-20,Pembrokeshire,Pembrokeshire,Non-Capital Grant Funded
146,2019-20,Pembrokeshire,Registered Social Landlords,Total
126,2019-20,Pembrokeshire,Registered Social Landlords,Capital Grant Funded
20,2019-20,Pembrokeshire,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Pembrokeshire,Bro Myrddin Housing Association,Total
0,2019-20,Pembrokeshire,Bro Myrddin Housing Association,Capital Grant Funded
0,2019-20,Pembrokeshire,Bro Myrddin Housing Association,Non-Capital Grant Funded
0,2019-20,Pembrokeshire,Caredig,Total
0,2019-20,Pembrokeshire,Caredig,Capital Grant Funded
0,2019-20,Pembrokeshire,Caredig,Non-Capital Grant Funded
102,2019-20,Pembrokeshire,Ateb Group,Total
82,2019-20,Pembrokeshire,Ateb Group,Capital Grant Funded
20,2019-20,Pembrokeshire,Ateb Group,Non-Capital Grant Funded
44,2019-20,Pembrokeshire,Wales and West Housing,Total
44,2019-20,Pembrokeshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Pembrokeshire,Wales and West Housing,Non-Capital Grant Funded
43,2019-20,Carmarthenshire,Carmarthenshire,Total
0,2019-20,Carmarthenshire,Carmarthenshire,Capital Grant Funded
43,2019-20,Carmarthenshire,Carmarthenshire,Non-Capital Grant Funded
120,2019-20,Carmarthenshire,Registered Social Landlords,Total
108,2019-20,Carmarthenshire,Registered Social Landlords,Capital Grant Funded
12,2019-20,Carmarthenshire,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Carmarthenshire,Aelwyd Housing Association,Total
0,2019-20,Carmarthenshire,Aelwyd Housing Association,Capital Grant Funded
0,2019-20,Carmarthenshire,Aelwyd Housing Association,Non-Capital Grant Funded
59,2019-20,Carmarthenshire,Bro Myrddin Housing Association,Total
59,2019-20,Carmarthenshire,Bro Myrddin Housing Association,Capital Grant Funded
0,2019-20,Carmarthenshire,Bro Myrddin Housing Association,Non-Capital Grant Funded
12,2019-20,Carmarthenshire,Caredig,Total
0,2019-20,Carmarthenshire,Caredig,Capital Grant Funded
12,2019-20,Carmarthenshire,Caredig,Non-Capital Grant Funded
0,2019-20,Carmarthenshire,First Choice Housing Association,Total
0,2019-20,Carmarthenshire,First Choice Housing Association,Capital Grant Funded
0,2019-20,Carmarthenshire,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Carmarthenshire,Ateb Group,Total
0,2019-20,Carmarthenshire,Ateb Group,Capital Grant Funded
0,2019-20,Carmarthenshire,Ateb Group,Non-Capital Grant Funded
0,2019-20,Carmarthenshire,Saint David's Diocesan Housing Association,Total
0,2019-20,Carmarthenshire,Saint David's Diocesan Housing Association,Capital Grant Funded
0,2019-20,Carmarthenshire,Saint David's Diocesan Housing Association,Non-Capital Grant Funded
0,2019-20,Carmarthenshire,Wales and West Housing,Total
0,2019-20,Carmarthenshire,Wales and West Housing,Capital Grant Funded
0,2019-20,Carmarthenshire,Wales and West Housing,Non-Capital Grant Funded
19,2019-20,Carmarthenshire,Beacon Cymru,Total
19,2019-20,Carmarthenshire,Beacon Cymru,Capital Grant Funded
0,2019-20,Carmarthenshire,Beacon Cymru,Non-Capital Grant Funded
30,2019-20,Carmarthenshire,Pobl Group,Total
30,2019-20,Carmarthenshire,Pobl Group,Capital Grant Funded
0,2019-20,Carmarthenshire,Pobl Group,Non-Capital Grant Funded
8,2019-20,Swansea,Swansea,Total
0,2019-20,Swansea,Swansea,Capital Grant Funded
8,2019-20,Swansea,Swansea,Non-Capital Grant Funded
237,2019-20,Swansea,Registered Social Landlords,Total
210,2019-20,Swansea,Registered Social Landlords,Capital Grant Funded
27,2019-20,Swansea,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Swansea,Caredig,Total
0,2019-20,Swansea,Caredig,Capital Grant Funded
0,2019-20,Swansea,Caredig,Non-Capital Grant Funded
1,2019-20,Swansea,First Choice Housing Association,Total
1,2019-20,Swansea,First Choice Housing Association,Capital Grant Funded
0,2019-20,Swansea,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Swansea,Abbeyfield Wales,Total
0,2019-20,Swansea,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Swansea,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Swansea,Wales and West Housing,Total
0,2019-20,Swansea,Wales and West Housing,Capital Grant Funded
0,2019-20,Swansea,Wales and West Housing,Non-Capital Grant Funded
88,2019-20,Swansea,Beacon Cymru,Total
75,2019-20,Swansea,Beacon Cymru,Capital Grant Funded
13,2019-20,Swansea,Beacon Cymru,Non-Capital Grant Funded
148,2019-20,Swansea,Pobl Group,Total
134,2019-20,Swansea,Pobl Group,Capital Grant Funded
14,2019-20,Swansea,Pobl Group,Non-Capital Grant Funded
0,2019-20,Neath Port Talbot,Neath Port Talbot,Total
0,2019-20,Neath Port Talbot,Neath Port Talbot,Capital Grant Funded
0,2019-20,Neath Port Talbot,Neath Port Talbot,Non-Capital Grant Funded
171,2019-20,Neath Port Talbot,Registered Social Landlords,Total
130,2019-20,Neath Port Talbot,Registered Social Landlords,Capital Grant Funded
41,2019-20,Neath Port Talbot,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Neath Port Talbot,Aelwyd Housing Association,Total
0,2019-20,Neath Port Talbot,Aelwyd Housing Association,Capital Grant Funded
0,2019-20,Neath Port Talbot,Aelwyd Housing Association,Non-Capital Grant Funded
0,2019-20,Neath Port Talbot,Caredig,Total
0,2019-20,Neath Port Talbot,Caredig,Capital Grant Funded
0,2019-20,Neath Port Talbot,Caredig,Non-Capital Grant Funded
2,2019-20,Neath Port Talbot,First Choice Housing Association,Total
2,2019-20,Neath Port Talbot,First Choice Housing Association,Capital Grant Funded
0,2019-20,Neath Port Talbot,First Choice Housing Association,Non-Capital Grant Funded
0,2019-20,Neath Port Talbot,Linc Cymru,Total
0,2019-20,Neath Port Talbot,Linc Cymru,Capital Grant Funded
0,2019-20,Neath Port Talbot,Linc Cymru,Non-Capital Grant Funded
0,2019-20,Neath Port Talbot,United Welsh Housing Association,Total
0,2019-20,Neath Port Talbot,United Welsh Housing Association,Capital Grant Funded
0,2019-20,Neath Port Talbot,United Welsh Housing Association,Non-Capital Grant Funded
68,2019-20,Neath Port Talbot,Beacon Cymru,Total
68,2019-20,Neath Port Talbot,Beacon Cymru,Capital Grant Funded
0,2019-20,Neath Port Talbot,Beacon Cymru,Non-Capital Grant Funded
41,2019-20,Neath Port Talbot,Tai Tarian,Total
14,2019-20,Neath Port Talbot,Tai Tarian,Capital Grant Funded
27,2019-20,Neath Port Talbot,Tai Tarian,Non-Capital Grant Funded
60,2019-20,Neath Port Talbot,Pobl Group,Total
46,2019-20,Neath Port Talbot,Pobl Group,Capital Grant Funded
14,2019-20,Neath Port Talbot,Pobl Group,Non-Capital Grant Funded
10,2019-20,Bridgend,Bridgend,Total
10,2019-20,Bridgend,Bridgend,Capital Grant Funded
0,2019-20,Bridgend,Bridgend,Non-Capital Grant Funded
84,2019-20,Bridgend,Registered Social Landlords,Total
67,2019-20,Bridgend,Registered Social Landlords,Capital Grant Funded
17,2019-20,Bridgend,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Bridgend,First Choice Housing Association,Total
0,2019-20,Bridgend,First Choice Housing Association,Capital Grant Funded
0,2019-20,Bridgend,First Choice Housing Association,Non-Capital Grant Funded
37,2019-20,Bridgend,Linc Cymru,Total
37,2019-20,Bridgend,Linc Cymru,Capital Grant Funded
0,2019-20,Bridgend,Linc Cymru,Non-Capital Grant Funded
12,2019-20,Bridgend,Hafod Housing Association,Total
12,2019-20,Bridgend,Hafod Housing Association,Capital Grant Funded
0,2019-20,Bridgend,Hafod Housing Association,Non-Capital Grant Funded
0,2019-20,Bridgend,Abbeyfield Wales,Total
0,2019-20,Bridgend,Abbeyfield Wales,Capital Grant Funded
0,2019-20,Bridgend,Abbeyfield Wales,Non-Capital Grant Funded
0,2019-20,Bridgend,United Welsh Housing Association,Total
0,2019-20,Bridgend,United Welsh Housing Association,Capital Grant Funded
0,2019-20,Bridgend,United Welsh Housing Association,Non-Capital Grant Funded
0,2019-20,Bridgend,Wales and West Housing,Total
0,2019-20,Bridgend,Wales and West Housing,Capital Grant Funded
0,2019-20,Bridgend,Wales and West Housing,Non-Capital Grant Funded
35,2019-20,Bridgend,Valleys to Coast Housing,Total
18,2019-20,Bridgend,Valleys to Coast Housing,Capital Grant Funded
17,2019-20,Bridgend,Valleys to Coast Housing,Non-Capital Grant Funded
0,2019-20,Bridgend,Beacon Cymru,Total
0,2019-20,Bridgend,Beacon Cymru,Capital Grant Funded
0,2019-20,Bridgend,Beacon Cymru,Non-Capital Grant Funded
0,2019-20,Vale of Glamorgan,Vale of Glamorgan,Total
0,2019-20,Vale of Glamorgan,Vale of Glamorgan,Capital Grant Funded
0,2019-20,Vale of Glamorgan,Vale of Glamorgan,Non-Capital Grant Funded
294,2019-20,Vale of Glamorgan,Registered Social Landlords,Total
93,2019-20,Vale of Glamorgan,Registered Social Landlords,Capital Grant Funded
201,2019-20,Vale of Glamorgan,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Vale of Glamorgan,Cadarn Housing Group,Total
0,2019-20,Vale of Glamorgan,Cadarn Housing Group,Capital Grant Funded
0,2019-20,Vale of Glamorgan,Cadarn Housing Group,Non-Capital Grant Funded
3,2019-20,Vale of Glamorgan,First Choice Housing Association,Total
0,2019-20,Vale of Glamorgan,First Choice Housing Association,Capital Grant Funded
3,2019-20,Vale of Glamorgan,First Choice Housing Association,Non-Capital Grant Funded
112,2019-20,Vale of Glamorgan,Hafod Housing Association,Total
78,2019-20,Vale of Glamorgan,Hafod Housing Association,Capital Grant Funded
34,2019-20,Vale of Glamorgan,Hafod Housing Association,Non-Capital Grant Funded
37,2019-20,Vale of Glamorgan,Newydd Housing Association,Total
15,2019-20,Vale of Glamorgan,Newydd Housing Association,Capital Grant Funded
22,2019-20,Vale of Glamorgan,Newydd Housing Association,Non-Capital Grant Funded
107,2019-20,Vale of Glamorgan,United Welsh Housing Association,Total
0,2019-20,Vale of Glamorgan,United Welsh Housing Association,Capital Grant Funded
107,2019-20,Vale of Glamorgan,United Welsh Housing Association,Non-Capital Grant Funded
35,2019-20,Vale of Glamorgan,Wales and West Housing,Total
0,2019-20,Vale of Glamorgan,Wales and West Housing,Capital Grant Funded
35,2019-20,Vale of Glamorgan,Wales and West Housing,Non-Capital Grant Funded
198,2019-20,Cardiff,Cardiff,Total
21,2019-20,Cardiff,Cardiff,Capital Grant Funded
177,2019-20,Cardiff,Cardiff,Non-Capital Grant Funded
225,2019-20,Cardiff,Registered Social Landlords,Total
148,2019-20,Cardiff,Registered Social Landlords,Capital Grant Funded
77,2019-20,Cardiff,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Cardiff,Aelwyd Housing Association,Total
0,2019-20,Cardiff,Aelwyd Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Aelwyd Housing Association,Non-Capital Grant Funded
0,2019-20,Cardiff,Cadwyn Housing Association,Total
0,2019-20,Cardiff,Cadwyn Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Cadwyn Housing Association,Non-Capital Grant Funded
0,2019-20,Cardiff,Cardiff Community Housing Association,Total
0,2019-20,Cardiff,Cardiff Community Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Cardiff Community Housing Association,Non-Capital Grant Funded
0,2019-20,Cardiff,Cardiff YMCA Housing Association,Total
0,2019-20,Cardiff,Cardiff YMCA Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Cardiff YMCA Housing Association,Non-Capital Grant Funded
0,2019-20,Cardiff,First Choice Housing Association,Total
0,2019-20,Cardiff,First Choice Housing Association,Capital Grant Funded
0,2019-20,Cardiff,First Choice Housing Association,Non-Capital Grant Funded
45,2019-20,Cardiff,Linc Cymru,Total
0,2019-20,Cardiff,Linc Cymru,Capital Grant Funded
45,2019-20,Cardiff,Linc Cymru,Non-Capital Grant Funded
32,2019-20,Cardiff,Hafod Housing Association,Total
32,2019-20,Cardiff,Hafod Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Hafod Housing Association,Non-Capital Grant Funded
52,2019-20,Cardiff,Taff Housing Association,Total
52,2019-20,Cardiff,Taff Housing Association,Capital Grant Funded
0,2019-20,Cardiff,Taff Housing Association,Non-Capital Grant Funded
89,2019-20,Cardiff,United Welsh Housing Association,Total
64,2019-20,Cardiff,United Welsh Housing Association,Capital Grant Funded
25,2019-20,Cardiff,United Welsh Housing Association,Non-Capital Grant Funded
7,2019-20,Cardiff,Wales and West Housing,Total
0,2019-20,Cardiff,Wales and West Housing,Capital Grant Funded
7,2019-20,Cardiff,Wales and West Housing,Non-Capital Grant Funded
0,2019-20,Cardiff,Trivallis,Total
0,2019-20,Cardiff,Trivallis,Capital Grant Funded
0,2019-20,Cardiff,Trivallis,Non-Capital Grant Funded
0,2019-20,Rhondda Cynon Taf,Rhondda Cynon Taf,Total
0,2019-20,Rhondda Cynon Taf,Rhondda Cynon Taf,Capital Grant Funded
0,2019-20,Rhondda Cynon Taf,Rhondda Cynon Taf,Non-Capital Grant Funded
128,2019-20,Rhondda Cynon Taf,Registered Social Landlords,Total
121,2019-20,Rhondda Cynon Taf,Registered Social Landlords,Capital Grant Funded
7,2019-20,Rhondda Cynon Taf,Registered Social Landlords,Non-Capital Grant Funded
0,2019-20,Rhondda Cynon Taf,Aelwyd Housing Association,Total
